DEPTH,GR ,PEFZ,RT_HRLT ,RHOZ,TNPH,DTCO,DTSM_fast,DTSM_slow
ft,GAPI,PE,ohms,g/cc,V/V,ft/s,ft/s,ft/s
11750,102.6143,4.0774,1.740173454,2.4999,0.1658,79.4789,128.9319,129.9611
11750.5,99.6554,4.0969,1.71177046,2.5043,0.1591,77.9493,126.9001,127.8942
11751,96.0923,4.266,1.714541657,2.514,0.1528,75.5349,122.6783,123.6564
11751.5,87.9296,4.5765,1.997215997,2.5398,0.1328,71.6267,118.1275,118.9864
11752,74.3972,4.8773,2.257149181,2.5867,0.0946,65.6918,115.6821,116.3547
11752.5,61.5609,5.0227,2.192060109,2.6097,0.0719,63.9473,113.3051,113.627
11753,62.6476,4.8421,2.03860546,2.6096,0.0763,66.3978,112.8193,112.9968
11753.5,75.2402,4.5321,1.953283446,2.5786,0.0984,69.2983,114.285,114.7474
11754,86.3829,4.3514,1.846870435,2.5535,0.1162,73.0094,118.5649,119.1349
11754.5,87.67,4.4231,1.67225861,2.5406,0.1124,72.8981,120.8649,121.1163
11755,83.3959,4.5785,1.75472917,2.529,0.1088,72.8267,122.8793,122.9846
11755.5,86.4466,4.5976,1.765590106,2.5202,0.1159,76.1291,125.2299,125.6858
11756,97.5525,4.5003,1.612413171,2.4933,0.1307,79.1993,126.6489,126.9131
11756.5,109.7078,4.3497,1.48462679,2.4893,0.1594,80.5992,129.5099,129.5699
11757,113.4053,4.3598,1.657017492,2.4926,0.17,78.8986,129.8497,129.8895
11757.5,106.8793,4.428,1.786098994,2.5156,0.1496,77.1946,128.4316,128.6999
11758,100.6972,4.4713,1.717760597,2.5247,0.1328,77.8406,126.9954,127.5389
11758.5,102.3469,4.3814,1.559621428,2.5216,0.1372,79.3521,126.6426,127.8772
11759,105.596,4.2222,1.5075249,2.5177,0.1497,79.7405,127.2668,129.0659
11759.5,102.7547,4.1265,1.523937566,2.521,0.1581,77.6016,126.1275,128.1552
